Arquivo,Classe,Total de Pixels
00000105.jpg,personagem_1,14222
00000105.jpg,personagem_2,0
00000106.jpg,personagem_1,16
00000106.jpg,personagem_2,0
00000107.jpg,personagem_1,34581
00000107.jpg,personagem_2,835
00000108.jpg,personagem_1,10198
00000108.jpg,personagem_2,0
00000109.jpg,personagem_1,11525
00000109.jpg,personagem_2,0
00000110.jpg,personagem_1,966
00000110.jpg,personagem_2,0
00000111.jpg,personagem_1,1024
00000111.jpg,personagem_2,0
00000112.jpg,personagem_1,43273
00000112.jpg,personagem_2,0
00000113.jpg,personagem_1,186
00000113.jpg,personagem_2,0
00000114.jpg,personagem_1,8686
00000114.jpg,personagem_2,0
00000115.jpg,personagem_1,23302
00000115.jpg,personagem_2,0
00000116.jpg,personagem_1,1312
00000116.jpg,personagem_2,0
00000117.jpg,personagem_1,3131
00000117.jpg,personagem_2,0
00000119.jpg,personagem_1,10
00000119.jpg,personagem_2,0
00000120.jpg,personagem_1,757
00000120.jpg,personagem_2,0
00000121.jpg,personagem_1,203962
00000121.jpg,personagem_2,0
00000122.jpg,personagem_1,223
00000122.jpg,personagem_2,0
00000123.jpg,personagem_1,8873
00000123.jpg,personagem_2,0
00000124.jpg,personagem_1,5028
00000124.jpg,personagem_2,0
00000126.jpg,personagem_1,46480
00000126.jpg,personagem_2,0
00000127.jpg,personagem_1,12300
00000127.jpg,personagem_2,0
00000128.jpg,personagem_1,14514
00000128.jpg,personagem_2,0
00000129.jpg,personagem_1,1645
00000129.jpg,personagem_2,0
00000130.jpg,personagem_1,1185
00000130.jpg,personagem_2,0
00000131.jpg,personagem_1,36
00000131.jpg,personagem_2,0
00000132.jpg,personagem_1,87949
00000132.jpg,personagem_2,0
00000133.jpg,personagem_1,26949
00000133.jpg,personagem_2,0
00000134.jpg,personagem_1,5
00000134.jpg,personagem_2,0
00000135.jpg,personagem_1,318991
00000135.jpg,personagem_2,0
00000136.jpg,personagem_1,0
00000136.jpg,personagem_2,0
00000137.jpg,personagem_1,794647
00000137.jpg,personagem_2,0
00000138.jpg,personagem_1,0
00000138.jpg,personagem_2,0
00000139.jpg,personagem_1,42582
00000139.jpg,personagem_2,0
00000140.jpg,personagem_1,60759
00000140.jpg,personagem_2,0
00000141.jpg,personagem_1,1185
00000141.jpg,personagem_2,0
00000142.jpg,personagem_1,36
00000142.jpg,personagem_2,0
00000143.jpg,personagem_1,87949
00000143.jpg,personagem_2,0
00000144.jpg,personagem_1,26949
00000144.jpg,personagem_2,0
00000145.jpg,personagem_1,5
00000145.jpg,personagem_2,0
00000146.jpg,personagem_1,318991
00000146.jpg,personagem_2,0
00000147.jpg,personagem_1,0
00000147.jpg,personagem_2,0
00000148.jpg,personagem_1,794647
00000148.jpg,personagem_2,0
00000149.jpg,personagem_1,0
00000149.jpg,personagem_2,0
00000150.jpg,personagem_1,42582
00000150.jpg,personagem_2,0
00000151.jpg,personagem_1,60759
00000151.jpg,personagem_2,0
00000152.jpg,personagem_1,20040
00000152.jpg,personagem_2,0
00000153.jpg,personagem_1,5446
00000153.jpg,personagem_2,0
00000154.jpg,personagem_1,109248
00000154.jpg,personagem_2,0
00000155.jpg,personagem_1,0
00000155.jpg,personagem_2,0
00000157.jpg,personagem_1,4124
00000157.jpg,personagem_2,0
00000158.jpg,personagem_1,7709
00000158.jpg,personagem_2,0
00000159.jpg,personagem_1,532905
00000159.jpg,personagem_2,0
00000160.jpg,personagem_1,428
00000160.jpg,personagem_2,0
00000161.jpg,personagem_1,89441
00000161.jpg,personagem_2,0
00000162.jpg,personagem_1,68800
00000162.jpg,personagem_2,0
00000163.jpg,personagem_1,3911
00000163.jpg,personagem_2,0
00000164.jpg,personagem_1,207
00000164.jpg,personagem_2,0
00000166.jpg,personagem_1,11024
00000166.jpg,personagem_2,0
00000167.jpg,personagem_1,15
00000167.jpg,personagem_2,0
00000168.jpg,personagem_1,3
00000168.jpg,personagem_2,2
00000169.jpg,personagem_1,6174
00000169.jpg,personagem_2,0
00000170.jpg,personagem_1,18543
00000170.jpg,personagem_2,0
00000171.jpg,personagem_1,4433
00000171.jpg,personagem_2,0
00000172.jpg,personagem_1,42073
00000172.jpg,personagem_2,0
00000173.jpg,personagem_1,5
00000173.jpg,personagem_2,0
00000174.jpg,personagem_1,76
00000174.jpg,personagem_2,0
00000175.jpg,personagem_1,17001
00000175.jpg,personagem_2,0
00000176.jpeg,personagem_1,1343
00000176.jpeg,personagem_2,0
00000177.jpg,personagem_1,54687
00000177.jpg,personagem_2,0
00000178.jpg,personagem_1,1940
00000178.jpg,personagem_2,0
00000179.jpg,personagem_1,721
00000179.jpg,personagem_2,0
00000180.jpg,personagem_1,6007
00000180.jpg,personagem_2,0
00000181.jpg,personagem_1,20696
00000181.jpg,personagem_2,0
00000182.jpg,personagem_1,75
00000182.jpg,personagem_2,0
00000183.jpg,personagem_1,1509
00000183.jpg,personagem_2,0
00000184.jpg,personagem_1,2098
00000184.jpg,personagem_2,0
00000185.jpg,personagem_1,0
00000185.jpg,personagem_2,0
00000186.jpg,personagem_1,12
00000186.jpg,personagem_2,0
00000187.jpg,personagem_1,20696
00000187.jpg,personagem_2,0
00000188.jpg,personagem_1,75
00000188.jpg,personagem_2,0
00000189.jpg,personagem_1,1509
00000189.jpg,personagem_2,0
00000190.jpg,personagem_1,2098
00000190.jpg,personagem_2,0
00000191.jpg,personagem_1,0
00000191.jpg,personagem_2,0
00000192.jpg,personagem_1,12
00000192.jpg,personagem_2,0
00000193.jpg,personagem_1,25955
00000193.jpg,personagem_2,0
00000194.jpg,personagem_1,0
00000194.jpg,personagem_2,0
00000196.jpg,personagem_1,0
00000196.jpg,personagem_2,0
00000197.jpg,personagem_1,4
00000197.jpg,personagem_2,0
00000198.jpg,personagem_1,45490
00000198.jpg,personagem_2,0
00000199.jpg,personagem_1,2120
00000199.jpg,personagem_2,0
00000200.jpg,personagem_1,7504
00000200.jpg,personagem_2,0
00000201.jpg,personagem_1,589
00000201.jpg,personagem_2,0
00000202.jpg,personagem_1,19785
00000202.jpg,personagem_2,0
00000203.jpg,personagem_1,1453
00000203.jpg,personagem_2,0
00000204.jpg,personagem_1,2000
00000204.jpg,personagem_2,0
00000205.jpg,personagem_1,1246871
00000205.jpg,personagem_2,0
00000206.jpg,personagem_1,31140
00000206.jpg,personagem_2,7
00000208.jpg,personagem_1,42144
00000208.jpg,personagem_2,0
00000209.jpg,personagem_1,18
00000209.jpg,personagem_2,0
00000210.jpg,personagem_1,67305
00000210.jpg,personagem_2,0
00000211.jpg,personagem_1,0
00000211.jpg,personagem_2,0
00000212.jpg,personagem_1,198
00000212.jpg,personagem_2,0
00000213.jpg,personagem_1,12339
00000213.jpg,personagem_2,0
00000214.jpg,personagem_1,10513
00000214.jpg,personagem_2,0
00000215.jpg,personagem_1,0
00000215.jpg,personagem_2,0
00000216.jpg,personagem_1,3160
00000216.jpg,personagem_2,0
00000217.jpg,personagem_1,4577
00000217.jpg,personagem_2,0
00000218.jpg,personagem_1,28546
